Processor,CPU.Mark.Single,Price
Intel Core i7-920 @ 2.67GHz,1165,358.95
Intel Core i3-5010U @ 2.10GHz,1165,303.93
AMD Athlon II X4 559,1162,
Intel Core i7-2617M @ 1.50GHz,1162,
Intel Core2 Duo E8335 @ 2.93GHz,1161,
Intel Core2 Extreme X9100 @ 3.06GHz,1161,851
Intel Core i3-2370M @ 2.40GHz,1158,59
Intel Core2 Extreme Q6850 @ 3.00GHz,1158,1495.95
AMD Phenom II X4 B99,1158,
AMD Opteron 6386 SE,1156,2407.51
Intel Core i3-2330E @ 2.20GHz,1155,
Intel Core i5-3439Y @ 1.50GHz,1154,
AMD Athlon II X2 270,1154,99.99
Intel Xeon X3350 @ 2.66GHz,1154,59.99
AMD Phenom II X2 511,1153,
AMD Phenom II X4 B60,1153,
Intel Xeon X3330 @ 2.66GHz,1151,210
AMD A6-5350M APU,1149,43.12
AMD Phenom II X4 977,1148,
AMD Phenom II X2 B59,1145,49.95
Intel Core2 Duo E7400 @ 2.80GHz,1145,157.95
Intel Pentium G6951 @ 2.80GHz,1144,94
AMD A8-8600P,1144,
AMD Opteron 6380,1142,389.86
Intel Celeron G550T @ 2.20GHz,1142,
Intel Core2 Extreme Q6800 @ 2.93GHz,1141,1125
Intel Pentium E6300 @ 2.80GHz,1140,14.95
Intel Core i5-750 @ 2.67GHz,1140,200.5
Intel Celeron 2950M @ 2.00GHz,1139,
Intel Core2 Duo E6850 @ 3.00GHz,1138,65.5
Intel Xeon E5640 @ 2.67GHz,1137,179.95
AMD Phenom II X4 960T,1137,134.99
Intel Pentium G620T @ 2.20GHz,1136,79.99
Intel Core i3-4110U @ 1.90GHz,1136,
Intel Xeon 5160 @ 3.00GHz,1135,14.6
Intel Pentium E5500 @ 2.80GHz,1134,157.95
Intel Xeon E5430 @ 2.66GHz,1134,36
Intel Core2 Quad Q9450 @ 2.66GHz,1133,335.25
Intel Xeon E5540 @ 2.53GHz,1132,28.64
Intel Core i3-4158U @ 2.00GHz,1132,
AMD Athlon II X3 455,1130,89.95
Intel Core i3-6006U @ 2.00GHz,1130,
AMD Phenom II X2 521,1129,
Intel Core2 Quad Q9400 @ 2.66GHz,1128,29.99
Intel Xeon L5430 @ 2.66GHz,1128,157.95
Intel Core i3-2310E @ 2.10GHz,1127,225
AMD Phenom II X3 B77,1126,
Intel Xeon E5-2470 @ 2.30GHz,1125,316.72
Intel Xeon L5639 @ 2.13GHz,1125,
AMD A6-5357M APU,1123,
Intel Xeon X3353 @ 2.66GHz,1123,73.5
Intel Core i5-480M @ 2.67GHz,1123,80.6
Intel Core2 Quad Q8400 @ 2.66GHz,1123,89.5
Intel Core i3-5015U @ 2.10GHz,1122,
AMD A4-4000 APU,1122,54.1
AMD A10-7400P,1120,
Intel Core2 Duo T9800 @ 2.93GHz,1120,423.89
AMD Opteron 2393 SE,1119,
Intel Pentium B970 @ 2.30GHz,1117,50.99
Intel Xeon E5-2650L @ 1.80GHz,1117,79
AMD Phenom II X2 565,1117,124.95
AMD Phenom II X4 850,1116,111.49
Intel Xeon E5-2628L v2 @ 1.90GHz,1116,
AMD Opteron 4284,1116,357.3
AMD Athlon II X2 265,1116,82.88
Intel Xeon E5-2609 v3 @ 1.90GHz,1115,367.28
Intel Xeon E5-2450L @ 1.80GHz,1114,64.99
Intel Pentium G6950 @ 2.80GHz,1113,125
Intel Core2 Duo E8200 @ 2.66GHz,1113,157.95
Intel Xeon E5630 @ 2.53GHz,1113,102.21
Intel Core i3-530 @ 2.93GHz,1113,23
Intel Xeon E5-2420 @ 1.90GHz,1113,390
AMD Phenom II X4 B55,1113,
Intel Core2 Extreme X6800 @ 2.93GHz,1113,263.64
Intel Celeron G540T @ 2.10GHz,1112,
AMD A10-5750M APU,1111,
AMD Phenom II X6 1055T,1110,185
AMD Phenom II X4 955,1110,130.16
Intel Xeon L5640 @ 2.27GHz,1110,145.89
Intel Core i3-2348M @ 2.30GHz,1108,
AMD Phenom II X4 B97,1108,79.95
Intel Core i5-4300Y @ 1.60GHz,1107,
Intel Core2 Duo P9700 @ 2.80GHz,1107,
Intel Core2 Duo E7300 @ 2.66GHz,1107,21.99
Intel Core i5-2557M @ 1.70GHz,1107,
AMD FX-8100 Eight-Core,1106,142
AMD Phenom II X6 1065T,1106,
AMD Athlon X2 280,1102,174.81
AMD A4-9120,1102,
AMD Phenom II X4 840,1099,89.95
Intel Core i5-540M @ 2.53GHz,1099,189.95
AMD Opteron 6376,1098,610
Intel Core i3-5005U @ 2.00GHz,1098,
AMD Phenom II X2 560,1098,109.95
AMD Athlon II X2 B26,1097,59.97
Intel Xeon E5645 @ 2.40GHz,1096,69.12
Intel Core i3-2350M @ 2.30GHz,1096,41.97
Intel Celeron 3765U @ 1.90GHz,1096,
AMD Phenom II X4 B50,1094,
Intel Xeon D-1528 @ 1.90GHz,1094,
Intel Core 860 @ 2.80GHz,1094,309
AMD FX-7500 APU,1093,
Intel Pentium E5400 @ 2.70GHz,1092,157.95
Intel Xeon E5-2418L @ 2.00GHz,1090,
Intel Xeon E5-2407 v2 @ 2.40GHz,1089,476.31
Intel Xeon E5530 @ 2.40GHz,1086,24.74
AMD Phenom II X3 740,1085,88.99
Intel Xeon E5-2651 v2 @ 1.80GHz,1084,
Intel Core2 Duo E8335 @ 2.66GHz,1082,
Intel Core i3-4025U @ 1.90GHz,1082,
AMD Athlon II X2 250e,1080,76.73
Intel Core i7-2610UE @ 1.50GHz,1080,
Intel Core M-5Y51 @ 1.10GHz,1079,
AMD Opteron 4280,1078,456.44
Intel Xeon L3426 @ 1.87GHz,1078,447.01
Intel Core i5-4422E @ 1.80GHz,1078,266
AMD A4-5150M APU,1077,
Intel Core2 Duo T9600 @ 2.80GHz,1077,64.99
Intel Core2 Extreme X9000 @ 2.80GHz,1076,
Intel Core2 Duo E8135 @ 2.66GHz,1076,
AMD Athlon II X2 260,1075,48
Intel Xeon X3320 @ 2.50GHz,1075,229.5
Intel Xeon E5-2450 @ 2.10GHz,1074,722.22
AMD Athlon II X4 645,1074,99.95
Intel Core2 Duo E8235 @ 2.80GHz,1073,
Intel Core i5-460M @ 2.53GHz,1072,74.95
Intel Xeon E5420 @ 2.50GHz,1070,59
AMD Phenom II X6 1045T,1070,175
AMD Phenom II X2 555,1069,299.95
Intel Core i7-940XM @ 2.13GHz,1068,
AMD Phenom II X4 973,1068,
AMD Phenom II X2 550,1067,133.39
Intel Pentium 3805U @ 1.90GHz,1066,
AMD A10-5757M APU,1066,
AMD Opteron 3365,1065,
Intel Pentium B960 @ 2.20GHz,1065,48.99
Intel Core i3-2328M @ 2.20GHz,1065,
AMD Athlon II X4 555,1065,
Intel Core i7-920XM @ 2.00GHz,1064,165.55
Intel Xeon E5-4603 @ 2.00GHz,1063,1890.99
Intel Xeon X3323 @ 2.50GHz,1063,70.99
Intel Core M-5Y31 @ 0.90GHz,1062,
Intel Xeon 3075 @ 2.66GHz,1062,349.95
Intel Core2 Quad Q9300 @ 2.50GHz,1061,24.99
AMD Athlon II X4 650,1061,166.6
AMD Phenom II X3 B75,1061,
Intel Core i5-520M @ 2.40GHz,1060,59.99
Intel Xeon E5-2430L @ 2.00GHz,1060,103.99
Intel Core i3-2330M @ 2.20GHz,1059,49.95
AMD Athlon II X3 450,1059,44.95
Intel Core2 Quad Q8300 @ 2.50GHz,1058,155
Intel Core i7-640LM @ 2.13GHz,1057,
Intel Celeron E3500 @ 2.70GHz,1057,62.01
Intel Xeon E5620 @ 2.40GHz,1056,15.9
AMD Phenom II X6 1405T,1056,
Intel Core2 Duo P8800 @ 2.66GHz,1056,56.99
AMD Opteron 3380,1055,809
AMD Athlon II X4 655,1054,
Intel Xeon 3085 @ 3.00GHz,1054,
Intel Core i5-4220Y @ 1.60GHz,1053,
AMD Athlon II X4 651 Quad-Core,1053,178.04
Intel Core2 Duo T9500 @ 2.60GHz,1052,
AMD A8-6500T APU,1052,
Intel Pentium 3825U @ 1.90GHz,1052,
Intel Core M-5Y10c @ 0.80GHz,1052,281
AMD Phenom II X4 B95,1051,72.95
Intel Pentium E5300 @ 2.60GHz,1050,24.95
Intel Core2 Duo E7200 @ 2.53GHz,1050,157.95
Intel Xeon W3505 @ 2.53GHz,1050,
AMD Phenom II X2 B57,1049,
AMD Athlon II X3 445,1048,91
Intel Xeon L5420 @ 2.50GHz,1046,157.95
AMD Athlon II X2 255,1046,65.22
Intel Core M-5Y10 @ 0.80GHz,1045,
Intel Core2 Duo P9600 @ 2.66GHz,1044,
Intel Core i3-4030U @ 1.90GHz,1044,
AMD A10 PRO-7350B APU,1043,
Intel Xeon X3440 @ 2.53GHz,1042,225
AMD Phenom II X4 B45,1040,
Intel Core i3-2332M @ 2.20GHz,1039,
AMD Phenom II X4 945,1039,287.89
AMD Phenom II X4 840T,1038,79.95
Intel Celeron E3400 @ 2.60GHz,1036,76.47
Intel Celeron 3865U @ 1.80GHz,1036,
AMD Opteron 6287 SE,1036,
AMD Phenom II X4 B40,1036,
Intel Xeon X3230 @ 2.66GHz,1034,359.95
Intel Xeon L5520 @ 2.27GHz,1034,26.7
Intel Core2 Extreme Q9300 @ 2.53GHz,1034,
AMD R-464L APU,1034,
Intel Xeon X5355 @ 2.66GHz,1033,69.18
AMD Phenom II X2 B55,1032,48
AMD Opteron 6276,1031,308.89
AMD A8-7050,1030,
Intel Xeon D-1518 @ 2.20GHz,1030,
Intel Core2 Quad Q6700 @ 2.66GHz,1029,25.99
Intel Core i7-2630UM @ 1.60GHz,1029,
Intel Core i3-2312M @ 2.10GHz,1028,
AMD A8-3870K APU,1028,201.54
Intel Celeron G530T @ 2.00GHz,1026,
AMD Athlon II X4 640,1026,259.95
Intel Xeon 3070 @ 2.66GHz,1024,408.95
AMD Phenom II X4 940,1024,119.99
AMD Phenom II X2 545,1023,49.95
Intel Xeon 5150 @ 2.66GHz,1022,15.99
Intel Xeon E5520 @ 2.27GHz,1022,21.99
Intel Xeon D-1520 @ 2.20GHz,1022,
Intel Xeon L5410 @ 2.33GHz,1021,100.08
AMD Athlon II X2 B24,1020,39.95
Intel Core2 Duo T9550 @ 2.66GHz,1020,298.95
Intel Xeon L5530 @ 2.40GHz,1018,44.8
Intel Core2 Duo P9600 @ 2.53GHz,1017,99
Intel Pentium E5200 @ 2.50GHz,1016,157.95
Quad-Core AMD Opteron 1389,1016,
Intel Celeron G470 @ 2.00GHz,1016,
AMD Phenom II X6 1035T,1015,189
AMD Athlon II X3 440,1015,46.95
Intel Core i5-4200Y @ 1.40GHz,1012,
AMD E2-9010,1011,
Intel Core i5 E 520 @ 2.40GHz,1011,
AMD Athlon II X4 553,1011,
Intel Core2 Duo P9500 @ 2.53GHz,1010,998.99
Intel Core i5-4210Y @ 1.50GHz,1009,
Intel Core i3-2310M @ 2.10GHz,1008,44.99
AMD A8-5557M APU,1006,
AMD Athlon II X2 250,1006,38.95
AMD A10-4600M APU,1006,
Intel Core2 Duo E6750 @ 2.66GHz,1006,61.99
Intel Core i7-840QM @ 1.87GHz,1005,289.97
AMD Athlon II X3 435,1004,39.95
AMD Phenom II X640 Dual-Core,1001,
Intel Xeon E5410 @ 2.33GHz,999,207.01
Intel Core i3-390M @ 2.67GHz,999,38.95
AMD Athlon X4 640,999,
Intel Celeron 1005M @ 1.90GHz,997,
Intel Xeon W3503 @ 2.40GHz,997,64.99
AMD Opteron 6378,996,399
Intel Core2 Duo P8700 @ 2.53GHz,995,37.99
AMD A8-3850 APU,995,199.99
AMD Phenom II X4 B35,995,
Intel Core2 Duo E6700 @ 2.66GHz,994,115.99
Intel Core2 Extreme X7800 @ 2.60GHz,993,
Intel Celeron E3300 @ 2.50GHz,993,11.19
Intel Core2 Duo T9400 @ 2.53GHz,993,69.95
AMD A6-4400M APU,992,39.86
Intel Core2 Quad Q8200 @ 2.33GHz,992,22.99
AMD Athlon X2 250,991,
AMD A4-4300M APU,991,39.86
AMD Athlon II X4 635,991,69.95
AMD A8-5550M APU,991,
Intel Pentium B950 @ 2.10GHz,989,
AMD Athlon X3 435,989,95.49
Intel Pentium 2127U @ 1.90GHz,989,134
Intel Core i5 750S @ 2.40GHz,987,252.01
AMD A8-7200P,984,
Intel Xeon E5-2603 v2 @ 1.80GHz,982,380.82
Intel Pentium B940 @ 2.00GHz,982,29.94
Intel Xeon E5-2609 v4 @ 1.70GHz,982,434
AMD Phenom II X4 820,979,74.95
Intel Core i5-4202Y @ 1.60GHz,977,
Intel Xeon E5-2603 v4 @ 1.70GHz,977,229.99
Intel Core2 Duo E8135 @ 2.40GHz,977,
Intel Core2 Duo T9300 @ 2.50GHz,977,57.99
AMD Phenom II X3 B73,976,75
AMD Phenom II X4 B93,975,
AMD Athlon II X4 641 Quad-Core,975,91.5
Intel Celeron E3200 @ 2.40GHz,975,51.99
AMD Athlon II X2 245,973,34.95
Intel Celeron 3955U @ 2.00GHz,973,
AMD Opteron 2384,972,840
AMD Phenom II X4 925,972,159.99
AMD FX-8140 Eight-Core,972,
AMD E2-9000,971,
Intel Core2 Duo E4700 @ 2.60GHz,971,100
AMD Phenom II X3 720,970,74.99
Intel Core2 Duo SP9400 @ 2.40GHz,970,284
AMD Phenom II N660 Dual-Core,970,99
AMD Athlon 64 X2 Dual Core 6400+,970,259.95
Intel Core i3-3227U @ 1.90GHz,969,
AMD Opteron 4184,969,519.95
AMD A10-7300 APU,969,
AMD A8-7100 APU,969,
Intel Core2 Extreme X7900 @ 2.80GHz,968,
Intel Core i7-820QM @ 1.73GHz,968,139
Intel Core i3-380M @ 2.53GHz,967,49
AMD Athlon II X2 B22,966,21
Intel Xeon X3430 @ 2.40GHz,966,228.88
AMD Phenom II X4 920,964,68.99
Intel Core2 Quad Q9100 @ 2.26GHz,964,385.89
Intel Core2 Duo T7800 @ 2.60GHz,961,607.99
AMD Athlon X2 255,960,
AMD Phenom X2 Dual-Core GP-7730,959,
AMD Athlon II X2 240e,958,34.95
Intel Core i5-450M @ 2.40GHz,957,31.95
AMD Athlon II X4 630,956,62.95
Intel Pentium 3556U @ 1.70GHz,955,
Intel Xeon E5507 @ 2.27GHz,954,456.91
Intel Celeron 1037U @ 1.80GHz,954,
Intel Celeron 3755U @ 1.70GHz,954,
Quad-Core AMD Opteron 1385,954,54
AMD Athlon 7850 Dual-Core,952,209.65
AMD Phenom II X4 830,951,79.95
AMD Athlon II X2 245e,951,80
AMD Opteron 2222,951,1664.98
AMD Athlon 64 FX-74,950,499.5
Intel Core i5-2467M @ 1.60GHz,949,
AMD PRO A4-3350B APU,949,
AMD Athlon X2 240,947,
Intel Core i3-4005U @ 1.70GHz,945,
Intel Xeon E5607 @ 2.27GHz,945,310
AMD Phenom II X2 B53,945,
Intel Core2 Duo P8600 @ 2.40GHz,944,49.18
Intel Pentium 3558U @ 1.70GHz,943,
AMD Embedded G-Series GX-215JJ Radeon R2E,942,
Intel Xeon L5638 @ 2.00GHz,942,69.9
Intel Xeon E5-2603 @ 1.80GHz,942,414.46
AMD Opteron 1222,938,
AMD Athlon X2 240e,938,
AMD Athlon II X2 240,938,34.95
Intel Celeron B840 @ 1.90GHz,938,
AMD Athlon X3 440,937,87.99
Intel Core2 Duo T8300 @ 2.40GHz,937,213.99
AMD A6-3670 APU,937,189.28
Intel Xeon E5-2603 v3 @ 1.60GHz,936,219.95
Intel Celeron 1000M @ 1.80GHz,935,
AMD Athlon II X2 4450e,934,
AMD Athlon II X2 220,933,32.19
Intel Core i3-4010U @ 1.70GHz,933,124.31
AMD Opteron 6212,933,209.5
Intel Xeon X3220 @ 2.40GHz,932,256.07
Intel Core i7-620LM @ 2.00GHz,932,
Intel Celeron 2980U @ 1.60GHz,930,
AMD A4-3420 APU,929,
AMD Phenom II X4 B25,928,
AMD A8-7410 APU,926,
Intel Core i5-3339Y @ 1.50GHz,925,
Intel Xeon L7455 @ 2.13GHz,925,
Intel Core2 Quad Q6600 @ 2.40GHz,924,109.95
AMD Athlon II X4 638 Quad-Core,924,
Intel Xeon L5408 @ 2.13GHz,923,
AMD Athlon II X3 425,922,41.96
Intel Xeon L5630 @ 2.13GHz,922,15.9
Intel Core2 Duo P7570 @ 2.26GHz,921,
AMD Athlon II X2 4400e,920,
AMD Phenom II X4 910e,919,156.99
Intel Atom C3955 @ 2.10GHz,918,434
AMD Turion II Ultra Dual-Core Mobile M640,917,
AMD Athlon X2 215,917,
AMD Phenom II N640 Dual-Core,917,64.95
Intel Core i3-370M @ 2.40GHz,916,39.96
Intel Core i7-740QM @ 1.73GHz,916,109.95
AMD A10-5745M APU,916,
AMD Athlon II X2 235e,915,181.88
Intel Core i3-330E @ 2.13GHz,915,
Intel Xeon 3.80GHz,915,851
AMD Opteron 1381,915,
Intel Xeon E5345 @ 2.33GHz,914,41.28
AMD Opteron 2435,913,120.4
AMD Phenom II N620 Dual-Core,912,39.86
AMD Opteron 4365 EE,911,
AMD A6-7000,910,
AMD A6-7310 APU,909,
AMD Phenom 9850B Quad-Core,909,
AMD Athlon II X2 215,908,11.99
AMD Phenom II X4 910,908,100
AMD Phenom II X3 710,908,84.53
AMD Opteron 8439 SE,908,75
Intel Pentium E2210 @ 2.20GHz,907,
AMD Athlon II X4 620,906,64.95
Intel Pentium A1018 @ 2.10GHz,906,
Intel Celeron 2981U @ 1.60GHz,906,
AMD Phenom II X4 810,906,115.99
Intel Core2 Duo E6600 @ 2.40GHz,906,157.95
AMD Athlon II X2 210e,905,
Intel Pentium 2117U @ 1.80GHz,904,134
AMD Athlon II X4 631 Quad-Core,904,80
AMD A4-3400 APU,904,59.26
Intel Core2 Duo E6540 @ 2.33GHz,903,
Intel Core2 Duo P8400 @ 2.26GHz,903,297.01
Intel Core i3-4030Y @ 1.60GHz,903,
AMD Athlon 7750 Dual-Core,903,148.71
Intel Core i3-3217U @ 1.80GHz,902,347.12
AMD A6-3650 APU,902,149.99
Intel Core2 Duo P9300 @ 2.26GHz,902,
Intel Celeron E1600 @ 2.40GHz,901,
AMD Opteron 6282 SE,901,1089.99
Intel Xeon 5148 @ 2.33GHz,900,39.99
Intel Core i5-430M @ 2.27GHz,900,139.95
AMD Turion II Ultra Dual-Core Mobile M660,899,
AMD Athlon 64 X2 Dual Core 6000+,898,32.5
AMD Phenom 8850 Triple-Core,896,
Intel Pentium E2220 @ 2.40GHz,896,157.95
AMD Athlon Dual Core 5600B,895,
Intel Core2 Duo P7550 @ 2.26GHz,895,229.99
Intel Core i5-560UM @ 1.33GHz,894,
Intel Xeon E5506 @ 2.13GHz,893,69
Intel Celeron 3215U @ 1.70GHz,893,
Intel Xeon 5140 @ 2.33GHz,891,46.99
AMD Opteron 6238,891,1088.11
AMD Phenom 8850B Triple-Core,890,
AMD Sempron 145,889,59.99
AMD Athlon X4 620,889,64.95
AMD Opteron 254,889,
AMD Phenom 9950 Quad-Core,889,179.98
Intel Core2 Duo E4600 @ 2.40GHz,888,157.95
AMD A10-4657M APU,887,
AMD A8-6410 APU,886,
Athlon 64 Dual Core 5600+,886,
AMD Embedded G-Series GX-420GI Radeon R7E,886,
AMD Athlon 64 X2 Dual Core 5800+,885,39.95
AMD Athlon 64 FX-59,885,
AMD Athlon II X2 4300e,884,
Intel Pentium T4500 @ 2.30GHz,882,
Intel Core2 Duo E6550 @ 2.33GHz,882,157.95
AMD Opteron 1220,882,
Intel Xeon E5-2403 @ 1.80GHz,880,389.69
Intel Core i5-2537M @ 1.40GHz,877,
AMD Phenom II X4 905e,877,212.38
Intel Xeon D-1559 @ 1.50GHz,877,
AMD Opteron 2431,877,40
AMD Opteron 290,876,135
Intel Atom C3558 @ 2.20GHz,876,86
AMD GX-424CC SOC,875,
AMD A8-3820 APU,875,124.99
AMD Athlon 5370 APU,873,63.7
Intel Core2 Duo T6670 @ 2.20GHz,873,
AMD Phenom II P650 Dual-Core,873,35
AMD Phenom II X4 B15e,872,
AMD A4 PRO-3340B,872,
Intel Core i7-720QM @ 1.60GHz,872,109.95
AMD Opteron 3280,871,273.18
Intel Celeron 3855U @ 1.60GHz,871,
AMD Sempron X2 190,870,83.44
AMD Phenom II X4 805,870,173.99
Intel Celeron B830 @ 1.80GHz,868,
AMD Athlon II X4 615e,866,59
Intel Xeon E5405 @ 2.00GHz,866,75
AMD Athlon 64 FX-62 Dual Core,865,
Intel Xeon 3065 @ 2.33GHz,864,20.9
AMD Phenom X4 Quad-Core GP-9730,864,
Intel Xeon E5606 @ 2.13GHz,863,65.99
Intel Pentium J4205 @ 1.50GHz,863,
AMD A6-5345M APU,863,
Intel Xeon 5133 @ 2.20GHz,862,
Intel Xeon E7- 2830 @ 2.13GHz,860,1779
AMD Turion II N530 Dual-Core,859,30
Intel Celeron J3355 @ 2.00GHz,858,
AMD A8-3800 APU,857,169.99
AMD A8-4500M APU,856,
AMD A10-4655M APU,856,
AMD Athlon II X3 415e,854,75
AMD A6 PRO-7050B APU,854,
Intel Pentium D 960 @ 3.60GHz,853,
Intel Xeon 3060 @ 2.40GHz,853,157.95
AMD Sempron X2 198 Dual-Core,852,
AMD Opteron 2220,852,1475.16
AMD R-260H APU,851,
AMD A8 PRO-7150B APU,851,
AMD Opteron 3260 HE,850,
AMD Athlon 64 X2 Dual Core 5600+,849,139.95
Intel Pentium P6300 @ 2.27GHz,849,
Intel Xeon E5-2403 v2 @ 1.80GHz,848,222.84
AMD Opteron 2378,847,179
Intel Xeon X3210 @ 2.13GHz,847,149
AMD Phenom 9850 Quad-Core,847,50
AMD Athlon 64 X2 Dual Core 5400+,847,52.99
AMD Athlon 7550 Dual-Core,846,60
Intel Pentium T4400 @ 2.20GHz,846,
AMD Phenom II X4 900e,845,
AMD Phenom II X3 705e,844,152.34
Celeron Dual-Core T3500 @ 2.10GHz,843,
AMD Opteron 6274,843,210
AMD A6-6310 APU,842,
Intel Core2 Quad Q9000 @ 2.00GHz,842,389
Intel Core2 Duo T6600 @ 2.20GHz,842,18.9
Intel Celeron 1017U @ 1.60GHz,841,
AMD Opteron 1356,840,89.99
Intel Xeon 3.73GHz,839,
AMD Sempron 140,839,39.59
AMD A4-3300 APU,838,12.99
Intel Core i3-4012Y @ 1.50GHz,837,
Intel Core2 Duo T7700 @ 2.40GHz,837,46.99
AMD Athlon Dual Core 5400B,836,
Intel Pentium N4200 @ 1.10GHz,835,212.31
AMD Phenom 9750B Quad-Core,835,
AMD A8-5545M APU,835,
Intel Celeron G460 @ 1.80GHz,835,65
Intel Core2 Duo P7450 @ 2.13GHz,833,39.99
Intel Celeron G465 @ 1.90GHz,833,80
AMD Sempron 150,833,44.95
Intel Core i3-4020Y @ 1.50GHz,832,
AMD Athlon II X4 610e,832,69.99
AMD Phenom 9750 Quad-Core,832,59.95
AMD Athlon 64 FX-57,832,
AMD A4-7210 APU,831,
Intel Pentium Extreme Edition 965 @ 3.73GHz,831,
Intel Core2 Duo T8100 @ 2.10GHz,829,999.99
Intel Xeon E3-1220L v3 @ 1.10GHz,829,
Intel Core2 Duo T7600 @ 2.33GHz,828,
Intel Xeon E5-2430 @ 2.20GHz,826,533.22
AMD Turion II P560 Dual-Core,824,
Intel Celeron 3205U @ 1.50GHz,823,287.04
AMD Opteron 154,822,
Intel Core2 Duo T6570 @ 2.10GHz,821,38.5
Intel Core M-5Y10a @ 0.80GHz,821,
Intel Core i3-350M @ 2.27GHz,820,39
Intel Xeon 3050 @ 2.13GHz,820,157.95
Intel Core i7-640UM @ 1.20GHz,820,
Intel Celeron B820 @ 1.70GHz,819,39.29
Intel Core2 Duo P7370 @ 2.00GHz,818,
Intel Core2 Duo E4500 @ 2.20GHz,818,157.95
Intel Celeron P4600 @ 2.00GHz,817,
AMD Athlon Dual Core 5200B,817,
Intel Xeon E5504 @ 2.00GHz,817,27.7
Intel Pentium 4 3.80GHz,816,
AMD Athlon II X4 605e,814,101.8
Intel Pentium P6200 @ 2.13GHz,814,59.99
Intel Xeon E5503 @ 2.00GHz,813,287.01
Intel Pentium T4300 @ 2.10GHz,813,
Intel Core2 Duo T6500 @ 2.10GHz,811,14.99
AMD Phenom 8750 Triple-Core,810,
AMD Athlon 64 X2 Dual Core 5200+,809,53.09
Intel Core2 Duo E6420 @ 2.13GHz,808,157.95
AMD Athlon 5350 APU,807,367
AMD Turion II Dual-Core Mobile M540,807,
AMD Athlon II X3 420e,807,116.15
AMD Phenom FX-5200 Quad-Core,805,
AMD Turion II Ultra Dual-Core Mobile M620,805,
AMD Phenom 8750B Triple-Core,805,
Intel Core i7-680UM @ 1.47GHz,805,
AMD Athlon 7450 Dual-Core,804,
Intel Celeron E1500 @ 2.20GHz,804,63.25
Intel Core2 Duo E6400 @ 2.13GHz,802,157.95
Athlon 64 Dual Core 5000+,802,
Intel Core2 Duo L9600 @ 2.13GHz,802,
AMD Opteron 185,801,
AMD Athlon II N370 Dual-Core,801,
AMD Opteron 1218,801,
Intel Pentium E2200 @ 2.20GHz,800,157.95
Intel Core i7-660UM @ 1.33GHz,800,
Intel Pentium Extreme Edition 955 @ 3.46GHz,800,759
Celeron Dual-Core T3300 @ 2.00GHz,800,
Intel Xeon L5335 @ 2.00GHz,800,38.2
Intel Pentium D 950 @ 3.40GHz,799,
Intel Celeron 2957U @ 1.40GHz,799,
AMD E2-3200 APU,798,7.99
AMD Opteron 2220 SE,798,19
AMD E2-9000e,797,
Intel Pentium 4 3.60GHz,796,
AMD Athlon 64 FX-60 Dual Core,795,
Intel Celeron B815 @ 1.60GHz,793,
Intel Pentium 997 @ 1.60GHz,792,
AMD A6-9220e,792,
AMD Phenom 9600 Quad-Core,790,49.95
AMD Athlon II X3 405e,790,79.99
Intel Xeon 3.60GHz,790,851
AMD Turion II Ultra Dual-Core Mobile M600,790,24
AMD Phenom 9650 Quad-Core,790,54.95
Mobile Intel Pentium 4 3.33GHz,789,
AMD A6-3620 APU,789,59.99
AMD Phenom II X3 700e,789,
Intel Celeron 2955U @ 1.40GHz,788,
Intel Pentium P6100 @ 2.00GHz,788,12
AMD Phenom 9600B Quad-Core,787,147.19
Intel Celeron 3965Y @ 1.50GHz,787,107
AMD A4-6250J APU,786,
Intel Core2 Duo P7350 @ 2.00GHz,786,19.99
AMD Athlon 1640B,785,50
Intel Xeon E5335 @ 2.00GHz,785,309
Intel Celeron B810 @ 1.60GHz,784,
AMD Phenom 8650 Triple-Core,784,49.99
AMD Athlon Dual Core 5050e,784,60
Intel Pentium 4405Y @ 1.50GHz,783,
AMD Athlon Dual Core 5000B,783,95
AMD Opteron 285,783,
AMD Athlon 64 X2 Dual Core 5000+,782,331.49
Intel Celeron 900 @ 2.20GHz,782,28.99
AMD Turion II N550 Dual-Core,781,
AMD Opteron 6174,781,209.98
AMD A6-5200 APU,778,
AMD Opteron 2356,778,14.95
Intel Xeon E5502 @ 1.87GHz,778,95
AMD Turion II P540 Dual-Core,777,49.96
HP Hexa-Core 2.0GHz,776,504.27
Intel Celeron J3455 @ 1.50GHz,776,232.91
Intel Pentium T4200 @ 2.00GHz,775,12
Intel Core2 Duo T6400 @ 2.00GHz,775,14.99
AMD Opteron 3320 EE,774,
Intel Xeon 5130 @ 2.00GHz,772,38.4
AMD Phenom 8600 Triple-Core,769,52.99
Intel Core2 Duo T7500 @ 2.20GHz,768,42.99
Intel Celeron 1007U @ 1.50GHz,767,184.99
AMD Athlon 64 FX-55,767,179.95
Celeron Dual-Core T3100 @ 1.90GHz,766,
AMD Phenom II X920 Quad-Core,765,
Athlon Dual Core 4850e,765,
AMD A6-4455M APU,765,
Intel Celeron N3350 @ 1.10GHz,764,
AMD Opteron 1354,763,309.97
AMD Phenom II N830 3+1,763,
AMD Athlon X3 455,763,
Intel Celeron P4505 @ 1.87GHz,762,
AMD A10 Micro-6700T APU,762,
AMD GX-222GC SOC,761,
AMD Turion II P520 Dual-Core,760,
AMD Phenom 8600B Triple-Core,760,52.99
